JD ID for subcribing institution,506,,,,,,,,,,
SO Identifier,rsc_gold_2011_2012_Nesli2,,,,,,,,,,
Subscription Term Start Year,2011,,,,,,,,,,
Subscription Term End Year,2011,,,,,,,,,,
included_st, publication_title,print_identifier,online_identifier,date_first_issue_subscribed,num_first_vol_subscribed,num_first_issue_subscribed,date_last_issue_subscribed,num_last_vol_subscribed,num_last_issue_subscribed,embargo_info,core_title
,Analyst ,0003-2654,1364-5528,1997,,,,,,,
,Analytical Methods,1759-9660,1759-9679,2009,1,1,,,,,
,"Annual Reports on the Progress of Chemistry, Sect. A ",0260-1818,1460-4760,1997,,,,,,,
,"Annual Reports on the Progress of Chemistry, Sect. B ",0069-3030,1460-4779,1997,,,,,,,
,"Annual Reports on the Progress of Chemistry, Sect. C ",0260-1826,1460-4787,1997,,,,,,,
,Chemical Science,2041-6520,2041-6539,2010,1,1,,,,,
,Chemical Society Reviews ,0306-0012,1460-4744,1997,,,,,,,Y
,Chemistry World,1473-7604,1749-5318,2004,1,1,,,,,
,CrystEngComm,,1466-8033,1999,1,1,,,,,
,Dalton Transactions,1477-9226,1477-9234,2003, ,1,,,,,
,Education in Chemistry,0013-1350,1749-5326,2006,43,5,,,,,Y
,Energy & Environmental Science ,1754-5692,1754-5706,2008,1,1,,,,,
,Faraday Discussions ,1359-6640,,1997,,,,,,,
,Food & Function,2042-6496,2042-650X,2010,1,1,,,,,
,Green Chemistry,1463-9262,1463-9270,1999,1,1,,,,,
,Integrative Biology,1757-9694 ,1757-9708 ,2009,1,1,,,,,
,Issues in Environmental Science and Technology,1350-7583,,1997,, ,,,,,
,Journal of Analytical Atomic Spectrometry ,0267-9477,1364-5544,1997,,,,,,,
,Journal of Environmental Monitoring,1464-0325,1464-0333,1999,1,1,,,,,
,Journal of Materials Chemistry ,0959-9428,1364-5501,1997,,,,,,,
,Lab on a Chip,1473-0197,1473-0189,2001,1,1,,,,,
,MedChemComm,2040-2503,2040-2511,2010,1,1,,,,,
,Metallomics,1756-5901 ,1756-591X ,2009,1,1,,,,,
,Molecular BioSystems,1742-206X,1742-2051,2005,1,1,,,,,
,Nanoscale,2040-3364,2040-3372,2009,1,1,,,,,
,Natural Product Reports ,0265-0568,1460-4752,1997,,,,,,,
,New Journal of Chemistry ,1144-0546,1369-9261,1998,22,1,,,,,
,Organic & Biomolecular Chemistry,1477-0520,1477-0539,2003,1,1,,,,,
,Photochemical & Photobiological Sciences,1474-905X,1474-9092,2002,1,1,,,,,
,Physical Chemistry Chemical Physics,1463-9076,1463-9084,1999,1,1,,,,,
,Polymer Chemistry,1759-9954,1759-9954,2010,1,1,,,,,
,Soft Matter,1744-683X,1744-6848,2005,1,1,,,,,
,Analytical Abstracts,0003-2689,1471-7107,2008,,,,,,,
,Catalysts & Catalysed Reactions,1474-9173,1474-9181,2008,,,,,,,
,Chemical Communications,1359-7345,1364-548X,1997,,,,,,,
,Chemical Hazards in Industry,0265-5721,1476-3907,2008,,,,,,,
,Laboratory Hazards Bulletin,0261-2917,1476-3915,2008,,,,,,,
,Methods in Organic Synthesis,0265-4245,1478-1565,2008,,,,,,,
,Natural Product Updates,0950-1711,1478-1557,2008,,,,,,,Y
